CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,LoginFrequency,SupportTickets,EngagementScore,Churn
1001,Male,24,Basic,299,6,18,2,65,Yes
1002,Female,35,Premium,799,24,30,0,90,No
1003,Male,28,Basic,299,4,10,5,40,Yes
1004,Female,42,Premium,999,36,28,1,88,No
1005,Male,30,Standard,499,12,20,2,70,No
1006,Female,22,Basic,299,3,8,6,35,Yes
1007,Male,45,Premium,999,48,35,0,95,No
1008,Female,27,Standard,499,10,15,3,60,Yes
1009,Male,31,Basic,299,5,12,4,45,Yes
1010,Female,39,Premium,999,30,32,1,92,No
1011,Male,29,Standard,499,15,22,2,75,No
1012,Female,25,Basic,299,2,7,7,30,Yes
1013,Male,41,Premium,999,40,34,0,96,No
1014,Female,33,Standard,499,18,25,1,82,No
1015,Male,26,Basic,299,4,9,5,42,Yes
1016,Female,37,Premium,799,28,29,1,89,No
1017,Male,23,Basic,299,3,8,6,36,Yes
1018,Female,44,Premium,999,42,33,0,94,No
1019,Male,32,Standard,499,16,23,2,78,No
1020,Female,28,Basic,299,5,11,4,46,Yes
